Security,KCO1 Comdty,
Start Date,5/12/25 0:00,
End Date,5/7/26 0:00,
Period,D,
Currency,USD,
,,
Date,PX_LAST,OPEN_INT
5/8/26,28.13,
5/7/26,28.17,#N/A N/A
5/6/26,28.22,#N/A N/A
5/5/26,28.16,#N/A N/A
5/4/26,28.16,#N/A N/A
5/1/26,28.22,#N/A N/A
4/30/26,28.23,#N/A N/A
4/29/26,28.26,#N/A N/A
4/28/26,28.27,#N/A N/A
4/27/26,28.17,#N/A N/A
4/24/26,28.17,#N/A N/A
4/23/26,28.22,#N/A N/A
4/22/26,28.25,#N/A N/A
4/21/26,28.28,#N/A N/A
4/20/26,28.34,#N/A N/A
4/17/26,28.28,#N/A N/A
4/16/26,28.28,#N/A N/A
4/15/26,28.38,#N/A N/A
4/14/26,28.71,#N/A N/A
4/13/26,28.29,#N/A N/A
4/10/26,28.07,#N/A N/A
4/9/26,28.02,#N/A N/A
4/8/26,28.1,#N/A N/A
4/7/26,27.96,#N/A N/A
4/6/26,28.09,#N/A N/A
4/2/26,27.98,#N/A N/A
4/1/26,28.17,#N/A N/A
3/31/26,27.99,#N/A N/A
3/30/26,28.25,#N/A N/A
3/27/26,28.28,#N/A N/A
3/26/26,28.33,#N/A N/A
3/25/26,28.32,#N/A N/A
3/24/26,28.27,#N/A N/A
3/23/26,28.11,#N/A N/A
3/20/26,28.02,#N/A N/A
3/19/26,27.95,#N/A N/A
3/18/26,28.09,#N/A N/A
3/17/26,28,#N/A N/A
3/16/26,28.03,#N/A N/A
3/13/26,28.04,#N/A N/A
3/12/26,28,#N/A N/A
3/11/26,28.24,#N/A N/A
3/10/26,28.2,#N/A N/A
3/9/26,28.21,#N/A N/A
3/6/26,28.32,#N/A N/A
3/5/26,28.39,#N/A N/A
3/4/26,28.44,#N/A N/A
3/3/26,28.23,#N/A N/A
3/2/26,28.17,#N/A N/A
2/27/26,28.43,#N/A N/A
2/26/26,28.57,#N/A N/A
2/25/26,28.73,#N/A N/A
2/24/26,28.72,#N/A N/A
2/23/26,28.72,#N/A N/A
2/20/26,28.71,#N/A N/A
2/19/26,28.81,#N/A N/A
2/18/26,28.67,#N/A N/A
2/17/26,28.55,#N/A N/A
2/16/26,28.6,0
2/13/26,28.6,#N/A N/A
2/12/26,28.62,#N/A N/A
2/11/26,28.71,#N/A N/A
2/10/26,28.86,#N/A N/A
2/9/26,29.04,#N/A N/A
2/6/26,28.8,0
2/5/26,28.79,#N/A N/A
2/4/26,28.76,#N/A N/A
2/3/26,28.71,#N/A N/A
2/2/26,28.74,#N/A N/A
1/30/26,28.71,#N/A N/A
1/29/26,28.97,#N/A N/A
1/28/26,29.35,#N/A N/A
1/27/26,29.39,#N/A N/A
1/26/26,29.48,#N/A N/A
1/23/26,30.11,#N/A N/A
1/22/26,30.02,#N/A N/A
1/21/26,30.1,#N/A N/A
1/20/26,30.47,#N/A N/A
1/19/26,30.67,0
1/16/26,30.67,#N/A N/A
1/15/26,31.51,0
1/14/26,31.66,#N/A N/A
1/13/26,32.4,#N/A N/A
1/12/26,31.86,#N/A N/A
1/9/26,31.15,#N/A N/A
1/8/26,32.6,#N/A N/A
1/7/26,33.19,#N/A N/A
1/6/26,33.17,#N/A N/A
1/5/26,33.09,#N/A N/A
1/2/26,32.81,#N/A N/A
12/31/25,31.98,#N/A N/A
12/30/25,31.68,#N/A N/A
12/29/25,31.44,#N/A N/A
12/26/25,31.56,#N/A N/A
12/23/25,31.56,8140
12/22/25,31.45,8140
12/19/25,31.5,8140
12/18/25,31.38,8140
12/17/25,31.3,8140
12/16/25,31.32,8140
12/15/25,31.41,8140
12/12/25,31.23,8140
12/11/25,31.05,8140
12/10/25,30.95,8140
12/9/25,30.88,8140
12/8/25,30.9,8140
12/5/25,30.74,8140
12/4/25,30.35,8140
12/3/25,30.21,8140
12/2/25,30.09,8140
12/1/25,30.06,8140
11/28/25,30.28,8140
11/27/25,30.74,8140
11/26/25,30.74,8140
11/25/25,30.83,8140
11/24/25,30.95,#N/A N/A
11/21/25,31.05,#N/A N/A
11/20/25,31.07,#N/A N/A
11/19/25,31.08,0
11/18/25,31.06,#N/A N/A
11/17/25,30.82,#N/A N/A
11/14/25,30.9,#N/A N/A
11/13/25,31.05,#N/A N/A
11/12/25,31.05,#N/A N/A
11/11/25,31.14,#N/A N/A
11/10/25,31.21,#N/A N/A
11/7/25,31.19,#N/A N/A
11/6/25,31.49,#N/A N/A
11/5/25,31.55,0
11/4/25,31.79,0
11/3/25,31.91,#N/A N/A
10/31/25,32.91,#N/A N/A
10/30/25,33.42,#N/A N/A
10/29/25,33.3,#N/A N/A
10/28/25,32.91,2400
10/27/25,33.06,2400
10/24/25,33.13,2400
10/23/25,33.05,2400
10/22/25,33.08,2400
10/21/25,33.1,2400
10/20/25,33.42,2400
10/17/25,33.59,600
10/16/25,33.6,600
10/15/25,33.53,600
10/14/25,33.57,600
10/13/25,33.53,#N/A N/A
10/10/25,33.32,#N/A N/A
10/9/25,33.17,#N/A N/A
10/8/25,33.2,#N/A N/A
