Security,KCO1 Comdty,
10/7/25,33.08,#N/A N/A
10/6/25,33.18,#N/A N/A
10/3/25,33,#N/A N/A
10/2/25,32.76,#N/A N/A
10/1/25,32.23,#N/A N/A
9/30/25,31.92,#N/A N/A
9/29/25,31.81,#N/A N/A
9/26/25,32.03,#N/A N/A
9/25/25,31.97,2000
9/24/25,32.08,2000
9/23/25,32.12,2000
9/22/25,32.1,2000
9/19/25,32.24,2000
9/18/25,32.15,2000
9/17/25,31.92,2000
9/16/25,32.86,2000
9/15/25,33.38,2000
9/12/25,32.69,2000
9/11/25,32.21,2000
9/10/25,31.5,2000
9/9/25,29.36,2000
9/8/25,29.54,1000
9/5/25,29.47,1000
9/4/25,29.81,#N/A N/A
9/3/25,30.04,#N/A N/A
9/2/25,30.15,#N/A N/A
9/1/25,30.29,#N/A N/A
8/29/25,30.29,#N/A N/A
8/28/25,30.22,#N/A N/A
8/27/25,29.61,#N/A N/A
8/26/25,29.68,2207
8/25/25,29.51,2207
8/22/25,29.5,2207
8/21/25,29.64,2207
8/20/25,29.92,2207
8/19/25,29.93,2207
8/18/25,29.28,2207
8/15/25,29.26,2207
8/14/25,29.13,2207
8/13/25,29.23,2207
8/12/25,29.24,2207
8/11/25,29.25,2207
8/8/25,29.25,2207
8/7/25,29.11,2207
8/6/25,29.17,2207
8/5/25,29.11,2207
8/4/25,28.94,2207
8/1/25,29.29,#N/A N/A
7/31/25,29.41,#N/A N/A
7/30/25,29.54,#N/A N/A
7/29/25,29.47,#N/A N/A
7/28/25,29.14,1200
7/25/25,29.16,1200
7/24/25,29.29,#N/A N/A
7/23/25,29.31,#N/A N/A
7/22/25,29.35,#N/A N/A
7/21/25,29.3,#N/A N/A
7/18/25,29.48,#N/A N/A
7/17/25,29.55,#N/A N/A
7/16/25,29.45,#N/A N/A
7/15/25,29.39,#N/A N/A
7/14/25,29.59,#N/A N/A
7/11/25,29.7,#N/A N/A
7/10/25,29.51,#N/A N/A
7/9/25,29.39,#N/A N/A
7/8/25,29.35,#N/A N/A
7/7/25,29.4,#N/A N/A
7/4/25,29.46,#N/A N/A
7/3/25,29.46,#N/A N/A
7/2/25,29.61,0
7/1/25,29.6,#N/A N/A
6/30/25,29.65,#N/A N/A
6/27/25,29.33,#N/A N/A
6/26/25,29.46,#N/A N/A
6/25/25,29.7,#N/A N/A
6/24/25,29.1,#N/A N/A
6/23/25,29.13,#N/A N/A
6/20/25,29.06,#N/A N/A
6/19/25,28.61,#N/A N/A
6/18/25,28.61,#N/A N/A
6/17/25,28.04,#N/A N/A
6/16/25,27.75,#N/A N/A
6/13/25,27.68,#N/A N/A
6/12/25,27.53,#N/A N/A
6/11/25,27.51,#N/A N/A
6/10/25,27.63,#N/A N/A
6/9/25,27.72,#N/A N/A
6/6/25,27.66,#N/A N/A
6/5/25,27.64,#N/A N/A
6/4/25,27.65,#N/A N/A
6/3/25,27.71,#N/A N/A
6/2/25,27.72,#N/A N/A
5/30/25,27.63,#N/A N/A
5/29/25,27.67,#N/A N/A
5/28/25,27.72,#N/A N/A
5/27/25,27.83,1000
5/26/25,27.93,1000
5/23/25,27.93,1000
5/22/25,27.86,1000
5/21/25,27.86,1000
5/20/25,27.89,1000
5/19/25,27.84,1000
5/16/25,28.1,1000
5/15/25,28.42,1000
5/14/25,29.04,1000
5/13/25,28.81,#N/A N/A
5/12/25,29.38,#N/A N/A
