Security,KBCZ27 Comdty,
Start Date,45729,
End Date,46149,
Period,D,
Currency,USD,
,,
Date,PX_LAST,OPEN_INT
5/7/26,30.79,#N/A N/A
5/6/26,30.84,#N/A N/A
5/5/26,30.79,#N/A N/A
5/4/26,30.81,#N/A N/A
5/1/26,30.85,#N/A N/A
4/30/26,30.86,#N/A N/A
4/29/26,30.89,#N/A N/A
4/28/26,30.9,#N/A N/A
4/27/26,30.79,#N/A N/A
4/24/26,30.79,#N/A N/A
4/23/26,30.84,#N/A N/A
4/22/26,30.87,#N/A N/A
4/21/26,30.9,#N/A N/A
4/20/26,30.95,#N/A N/A
4/17/26,30.89,#N/A N/A
4/16/26,30.9,#N/A N/A
4/15/26,31.01,#N/A N/A
4/14/26,31.35,#N/A N/A
4/13/26,30.9,#N/A N/A
4/10/26,30.66,#N/A N/A
4/9/26,30.61,#N/A N/A
4/8/26,30.69,#N/A N/A
4/7/26,30.58,#N/A N/A
4/6/26,30.69,#N/A N/A
4/2/26,30.58,#N/A N/A
4/1/26,30.77,#N/A N/A
3/31/26,30.57,#N/A N/A
3/30/26,30.85,#N/A N/A
3/27/26,30.94,#N/A N/A
3/26/26,31.03,#N/A N/A
3/25/26,31,#N/A N/A
3/24/26,30.94,#N/A N/A
3/23/26,30.77,#N/A N/A
3/20/26,30.68,#N/A N/A
3/19/26,30.61,#N/A N/A
3/18/26,30.72,#N/A N/A
3/17/26,30.61,#N/A N/A
3/16/26,30.64,#N/A N/A
3/13/26,30.71,#N/A N/A
3/12/26,30.68,#N/A N/A
3/11/26,30.91,#N/A N/A
3/10/26,30.89,#N/A N/A
3/9/26,30.92,#N/A N/A
3/6/26,31.05,#N/A N/A
3/5/26,31.16,#N/A N/A
3/4/26,31.18,#N/A N/A
3/3/26,30.98,#N/A N/A
3/2/26,30.92,#N/A N/A
2/27/26,31.17,0
2/26/26,31.29,#N/A N/A
2/25/26,31.46,#N/A N/A
2/24/26,31.47,#N/A N/A
2/23/26,31.46,#N/A N/A
2/20/26,31.43,#N/A N/A
2/19/26,31.52,#N/A N/A
2/18/26,31.39,#N/A N/A
2/17/26,31.27,#N/A N/A
2/16/26,31.32,0
2/13/26,31.32,#N/A N/A
2/12/26,31.34,#N/A N/A
2/11/26,31.38,#N/A N/A
2/10/26,31.52,#N/A N/A
2/9/26,31.69,#N/A N/A
2/6/26,31.44,0
2/5/26,31.41,#N/A N/A
2/4/26,31.39,#N/A N/A
2/3/26,31.34,#N/A N/A
2/2/26,31.37,#N/A N/A
1/30/26,31.36,#N/A N/A
1/29/26,31.63,#N/A N/A
1/28/26,32.05,#N/A N/A
1/27/26,32.11,#N/A N/A
1/26/26,32.23,#N/A N/A
1/23/26,32.91,#N/A N/A
1/22/26,32.82,#N/A N/A
1/21/26,32.92,0
1/20/26,33.32,#N/A N/A
1/19/26,33.53,#N/A N/A
1/16/26,33.53,#N/A N/A
1/15/26,34.46,#N/A N/A
1/14/26,34.59,0
1/13/26,35.33,#N/A N/A
1/12/26,34.78,#N/A N/A
1/9/26,34.06,#N/A N/A
1/8/26,35.51,#N/A N/A
1/7/26,36.1,#N/A N/A
1/6/26,36.03,#N/A N/A
1/5/26,35.9,#N/A N/A
1/2/26,35.44,#N/A N/A
12/31/25,34.62,#N/A N/A
12/30/25,34.47,#N/A N/A
12/29/25,34.24,#N/A N/A
12/26/25,34.37,#N/A N/A
12/23/25,34.22,#N/A N/A
12/22/25,34.17,#N/A N/A
12/19/25,34.13,#N/A N/A
12/18/25,33.94,#N/A N/A
12/17/25,33.83,#N/A N/A
12/16/25,33.83,#N/A N/A
12/15/25,33.9,#N/A N/A
12/12/25,33.7,#N/A N/A
12/11/25,33.52,#N/A N/A
12/10/25,33.4,#N/A N/A
12/9/25,33.34,#N/A N/A
12/8/25,33.38,#N/A N/A
12/5/25,33.21,#N/A N/A
12/4/25,32.8,0
12/3/25,32.65,#N/A N/A
12/2/25,32.56,#N/A N/A
12/1/25,32.53,#N/A N/A
11/28/25,32.76,#N/A N/A
11/27/25,33.24,#N/A N/A
11/26/25,33.24,0
11/25/25,33.34,#N/A N/A
11/24/25,33.48,#N/A N/A
11/21/25,33.56,#N/A N/A
11/20/25,33.59,#N/A N/A
11/19/25,33.58,0
11/18/25,33.58,#N/A N/A
11/17/25,33.31,#N/A N/A
11/14/25,33.39,#N/A N/A
11/13/25,33.54,#N/A N/A
11/12/25,33.51,#N/A N/A
11/11/25,33.6,#N/A N/A
11/10/25,33.67,#N/A N/A
11/7/25,33.65,#N/A N/A
11/6/25,33.97,#N/A N/A
11/5/25,34.08,#N/A N/A
11/4/25,34.34,0
11/3/25,34.51,#N/A N/A
10/31/25,35.58,0
10/30/25,36.12,#N/A N/A
10/29/25,35.99,#N/A N/A
10/28/25,35.58,#N/A N/A
10/27/25,35.74,#N/A N/A
10/24/25,35.78,#N/A N/A
10/23/25,35.73,#N/A N/A
10/22/25,35.75,#N/A N/A
10/21/25,35.76,#N/A N/A
10/20/25,36.13,#N/A N/A
10/17/25,36.29,#N/A N/A
10/16/25,36.3,#N/A N/A
10/15/25,36.27,#N/A N/A
10/14/25,36.33,#N/A N/A
10/13/25,36.31,#N/A N/A
10/10/25,36.1,#N/A N/A
10/9/25,35.98,#N/A N/A
10/8/25,35.99,#N/A N/A
10/7/25,35.87,#N/A N/A
10/6/25,35.99,#N/A N/A
10/3/25,35.8,#N/A N/A
10/2/25,35.53,#N/A N/A
10/1/25,34.99,#N/A N/A
9/30/25,34.72,#N/A N/A
9/29/25,34.64,#N/A N/A
9/26/25,34.85,#N/A N/A
9/25/25,34.81,#N/A N/A
9/24/25,34.91,#N/A N/A
9/23/25,34.95,#N/A N/A
9/22/25,34.95,#N/A N/A
9/19/25,35.08,#N/A N/A
9/18/25,35.01,#N/A N/A
9/17/25,34.76,#N/A N/A
9/16/25,35.7,#N/A N/A
9/15/25,36.27,#N/A N/A
9/12/25,35.5,#N/A N/A
9/11/25,34.99,#N/A N/A
9/10/25,34.23,#N/A N/A
9/9/25,32,#N/A N/A
9/8/25,32.18,#N/A N/A
9/5/25,32.1,#N/A N/A
9/4/25,32.56,#N/A N/A
9/3/25,32.83,#N/A N/A
9/2/25,32.95,#N/A N/A
9/1/25,33.1,#N/A N/A
8/29/25,33.1,#N/A N/A
8/28/25,33.03,#N/A N/A
8/27/25,32.37,#N/A N/A
8/26/25,32.52,#N/A N/A
8/25/25,32.38,#N/A N/A
8/22/25,32.32,#N/A N/A
8/21/25,32.51,#N/A N/A
8/20/25,32.76,#N/A N/A
8/19/25,32.56,#N/A N/A
8/18/25,31.9,#N/A N/A
8/15/25,31.87,#N/A N/A
8/14/25,31.79,#N/A N/A
8/13/25,31.92,#N/A N/A
8/12/25,31.94,#N/A N/A
8/11/25,31.95,#N/A N/A
8/8/25,31.95,#N/A N/A
8/7/25,31.82,#N/A N/A
8/6/25,31.87,#N/A N/A
8/5/25,31.82,#N/A N/A
8/4/25,31.64,#N/A N/A
8/1/25,31.86,#N/A N/A
7/31/25,32.06,#N/A N/A
7/30/25,32.18,#N/A N/A
7/29/25,32.1,#N/A N/A
7/28/25,31.75,#N/A N/A
7/25/25,31.75,#N/A N/A
7/24/25,31.77,#N/A N/A
7/23/25,31.79,#N/A N/A
7/22/25,31.82,#N/A N/A
7/21/25,31.78,#N/A N/A
7/18/25,31.97,#N/A N/A
7/17/25,32.02,#N/A N/A
7/16/25,31.92,#N/A N/A
7/15/25,31.9,#N/A N/A
7/14/25,32.08,#N/A N/A
7/11/25,32.19,#N/A N/A
7/10/25,32,#N/A N/A
7/9/25,31.89,#N/A N/A
7/8/25,31.85,#N/A N/A
7/7/25,31.88,#N/A N/A
7/4/25,31.96,#N/A N/A
7/3/25,31.96,#N/A N/A
7/2/25,32.03,#N/A N/A
7/1/25,32.03,#N/A N/A
6/30/25,32.04,#N/A N/A
6/27/25,31.76,#N/A N/A
6/26/25,31.89,#N/A N/A
6/25/25,32.16,#N/A N/A
6/24/25,31.58,#N/A N/A
6/23/25,31.65,#N/A N/A
6/20/25,31.59,#N/A N/A
6/19/25,31.44,#N/A N/A
6/18/25,31.44,#N/A N/A
6/17/25,30.85,#N/A N/A
6/16/25,30.56,#N/A N/A
6/13/25,30.51,#N/A N/A
6/12/25,30.4,#N/A N/A
6/11/25,30.4,#N/A N/A
6/10/25,30.55,#N/A N/A
6/9/25,30.65,#N/A N/A
6/6/25,30.6,#N/A N/A
6/5/25,30.52,#N/A N/A
6/4/25,30.5,#N/A N/A
6/3/25,30.61,#N/A N/A
6/2/25,30.64,#N/A N/A
5/30/25,30.55,#N/A N/A
5/29/25,30.6,#N/A N/A
5/28/25,30.66,#N/A N/A
5/27/25,30.79,#N/A N/A
5/26/25,30.96,#N/A N/A
5/23/25,30.96,#N/A N/A
5/22/25,30.93,#N/A N/A
5/21/25,30.93,#N/A N/A
5/20/25,30.97,#N/A N/A
5/19/25,30.9,#N/A N/A
5/16/25,31.15,#N/A N/A
5/15/25,31.5,#N/A N/A
5/14/25,32.09,#N/A N/A
5/13/25,31.96,#N/A N/A
5/12/25,32.15,#N/A N/A
5/9/25,31.9,#N/A N/A
5/8/25,31.63,#N/A N/A
5/7/25,31.62,#N/A N/A
5/6/25,31.57,#N/A N/A
5/5/25,31.41,#N/A N/A
5/2/25,31.31,#N/A N/A
5/1/25,30.89,#N/A N/A
4/30/25,30.68,#N/A N/A
4/29/25,30.68,#N/A N/A
4/28/25,30.73,#N/A N/A
4/25/25,30.9,#N/A N/A
4/24/25,30.61,#N/A N/A
4/23/25,30.41,#N/A N/A
4/22/25,30.64,#N/A N/A
4/21/25,30.8,#N/A N/A
4/17/25,31.54,#N/A N/A
4/16/25,30.97,#N/A N/A
4/15/25,31.22,#N/A N/A
4/14/25,30.24,#N/A N/A
4/11/25,30.33,#N/A N/A
4/10/25,30.58,#N/A N/A
4/9/25,31.02,#N/A N/A
4/8/25,33.68,#N/A N/A
4/7/25,33.68,#N/A N/A
4/4/25,33.47,#N/A N/A
4/3/25,33.95,0
4/2/25,34.32,#N/A N/A
4/1/25,34.6,#N/A N/A
3/31/25,34.91,#N/A N/A
3/28/25,35.02,#N/A N/A
3/27/25,34.86,#N/A N/A
3/26/25,35,#N/A N/A
3/25/25,35.73,#N/A N/A
3/24/25,35.89,#N/A N/A
3/21/25,34.77,#N/A N/A
3/20/25,34.67,#N/A N/A
3/19/25,34.85,#N/A N/A
3/18/25,35.11,#N/A N/A
3/17/25,34.21,#N/A N/A
3/14/25,33.98,0
3/13/25,34.1,#N/A N/A
